journal_name,journal_alias,issn,eissn,impact_factor,quartile,source_year,source,quartile_system
npj Primary Care Respiratory Medicine,,,,4.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Quantum Information,,,,9.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Quantum Materials,,,,6.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Regenerative Medicine,,,,7.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Science of Food,,,,9.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Science of Learning,,,,4.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Systems Biology and Applications,,,,4.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Urban Sustainability,,,,10.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Vaccines,,,,7.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nutrients,Nutrients,,,5.8,,2025,https://www.mdpi.com/journal/nutrients/imprint,
Oncology Reviews,,,,4.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
"Pastoralism: Research, Policy and Practice",,,,3.8,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Pathology and Oncology Research,,,,2.7,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Public Health Reviews,,,,5.2,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Scientific Data,Sci Data,,,7.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Scientific Reports,Sci Rep,,,4.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Spanish Journal of Soil Science,,,,2.6,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
The Journal of Clinical Endocrinology & Metabolism,J Clin Endocrinol Metab,0021-972X,1945-7197,5.4,,2025,https://academic.oup.com/jcem/pages/About,
Transplant International,,,,3.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
